train,test,n,g,g_est
log4j,xerces,13,0.541028118,0.130944301
lucene,ant,5,0.600230564,0.600230564
lucene,camel,6,0.582249085,0.454157525
lucene,ivy,7,0.627612014,0.407557327
lucene,jedit,8,0.622573303,0.405675297
lucene,log4j,9,0.633229337,0.169396022
lucene,poi,10,0.602782599,0.214964407
lucene,velocity,11,0.605034514,0.205079372
lucene,xalan,12,0.549004209,0.202056406
lucene,xerces,13,0.5207986,0.174261445
poi,ant,5,0.64983258,0.64983258
poi,camel,6,0.539222168,0.496689847
poi,ivy,7,0.606208671,0.473774442
poi,jedit,8,0.672797808,0.472455925
poi,log4j,9,0.600092894,0.255535396
poi,lucene,10,0.562102019,0.234292195
poi,velocity,11,0.483692308,0.24488122
poi,xalan,12,0.540175382,0.244321278
poi,xerces,13,0.550259544,0.216039012
velocity,ant,5,0.294075223,0.294075223
velocity,camel,6,0.265734015,0.381211931
velocity,ivy,7,0.318008469,0.421852451
velocity,jedit,8,0.368588563,0.446489085
velocity,log4j,9,0.529655596,0.310359436
velocity,lucene,10,0.442428087,0.268981511
velocity,poi,11,0.42374549,0.244790276
velocity,xalan,12,0.427969965,0.267277364
velocity,xerces,13,0.519127658,0.249715528
xalan,ant,5,0.422164898,0.422164898
xalan,camel,6,0.585118278,0.483165104
xalan,ivy,7,0.596748314,0.480151072
xalan,jedit,8,0.538677355,0.469536152
xalan,log4j,9,0.551599189,0.358607387
xalan,lucene,10,0.584709619,0.321602862
xalan,poi,11,0.533876944,0.286088372
xalan,velocity,12,0.563936285,0.284763103
xalan,xerces,13,0.552328957,0.283339242
xerces,ant,5,0.636830124,0.636830124
xerces,ivy,6,0.602387947,0.541269509
xerces,jedit,7,0.547628713,0.495567006
xerces,log4j,8,0.552392309,0.407053617
xerces,camel,9,0.504456951,0.513871405
xerces,lucene,10,0.578353071,0.364394563
xerces,poi,11,0.565724528,0.326036394
xerces,velocity,12,0.578209221,0.321443868
xerces,xalan,13,0.497302233,0.292835683
ant,camel,5,0.021121203,0.021121203
ant,ivy,6,0.210141617,0.105070809
ant,jedit,7,0.196034536,0.065344845
ant,xalan,8,0.078671412,0.019667853
ant,poi,9,0.054976559,0.018214756
ant,log4j,10,0,0.003821408
ant,xerces,12,0.087668083,0.015830688
ant,lucene,14,0.066205879,0.027532158
ant,velocity,20,0.063279345,0.020100796
camel,ant,5,0.562217873,0.562217873
camel,ivy,6,0.395247183,0.250158996
camel,jedit,7,0.27087017,0.133853287
camel,log4j,8,0.074029851,0.021373519
camel,poi,9,0.016828369,0.017937479
camel,lucene,10,0.143789529,0.051918832
camel,xalan,11,0.06216706,0.025739168
camel,xerces,12,0.087359032,0.024771731
camel,velocity,15,0.063256,0.030781132
ivy,ant,5,0.266539854,0.266539854
ivy,jedit,6,0.359247938,0.246550612
ivy,camel,7,0.045213234,0.061167624
ivy,xalan,8,0.166979855,0.06104934
ivy,xerces,9,0.207238473,0.06126508
ivy,lucene,11,0.070433022,0.0767945
ivy,poi,13,0.213758645,0.075522111
ivy,log4j,17,0.037735849,0.042327546
ivy,velocity,19,0.047859564,0.051090854
jedit,ant,5,0.092630224,0.092630224
jedit,camel,6,0,0.030583812
jedit,ivy,7,0.016666667,0.17232822
jedit,log4j,8,0.007662835,0.033661369
jedit,lucene,9,0.031451892,0.067725978
jedit,poi,10,0.0196064,0.066202826
jedit,velocity,11,0.026880387,0.047632216
jedit,xerces,12,0.027146694,0.057000282
jedit,xalan,13,0.052818105,0.060953658
log4j,ant,5,0.558452829,0.558452829
log4j,camel,6,0.525860404,0.278222108
log4j,ivy,7,0.584915341,0.30985726
log4j,jedit,8,0.585122999,0.331193709
log4j,lucene,9,0.598634069,0.173907596
log4j,poi,10,0.436550502,0.127927439
log4j,velocity,11,0.457298584,0.106155983
log4j,xalan,12,0.342295109,0.09612134
log4j,xerces,13,0.480539802,0.104060228
lucene,ant,5,0.57505071,0.57505071
lucene,camel,6,0.57211062,0.425166364
lucene,ivy,7,0.551922946,0.390545822
lucene,jedit,8,0.513638582,0.376804927
lucene,log4j,9,0.606613455,0.148251786
lucene,poi,10,0.491367574,0.188500795
lucene,velocity,11,0.56520976,0.171735094
lucene,xalan,12,0.475277914,0.143515911
lucene,xerces,13,0.51015703,0.149182095
poi,ant,5,0.52510783,0.52510783
poi,camel,6,0.587751208,0.506458786
poi,ivy,7,0.62446988,0.468520508
poi,jedit,8,0.605361215,0.433943999
poi,log4j,9,0.622734761,0.243148381
poi,lucene,10,0.635234184,0.250795361
poi,velocity,11,0.548023705,0.22549061
poi,xalan,12,0.553363745,0.194746891
poi,xerces,13,0.480123785,0.185953394
velocity,ant,5,0.5257132,0.5257132
velocity,camel,6,0.460024286,0.483241536
velocity,ivy,7,0.455688167,0.464243061
velocity,jedit,8,0.406911209,0.427185802
velocity,log4j,9,0.481838881,0.290886481
velocity,lucene,10,0.415347308,0.278220685
velocity,poi,11,0.465117554,0.228017475
velocity,xalan,12,0.496009429,0.232404708
velocity,xerces,13,0.54899504,0.226291355
xalan,ant,5,0.583908599,0.583908599
xalan,camel,6,0.425948337,0.454594936
xalan,ivy,7,0.608062254,0.512182792
xalan,jedit,8,0.617138499,0.474673976
xalan,log4j,9,0.529524622,0.338614109
xalan,lucene,10,0.52152583,0.318771543
xalan,poi,11,0.584062661,0.278881073
xalan,velocity,12,0.531566626,0.263750112
xalan,xerces,13,0.526492083,0.259646991
xerces,ant,5,0.574085403,0.574085403
xerces,camel,6,0.527288928,0.490941932
xerces,ivy,7,0.587119321,0.537161635
xerces,jedit,8,0.529290208,0.488328034
xerces,log4j,9,0.592941176,0.389479523
xerces,lucene,10,0.52838143,0.353706524
xerces,poi,11,0.477342071,0.307232644
xerces,velocity,12,0.546134145,0.299048116
xerces,xalan,13,0.440215143,0.255494756
ant,camel,5,0.113950434,0.113950434
ant,ivy,6,0.396820581,0.198410291
ant,jedit,7,0.514869885,0.171623295
ant,log4j,8,0.059692015,0.014923004
ant,lucene,9,0.208203493,0.041640699
ant,poi,10,0.226346676,0.037724446
ant,velocity,11,0.107977693,0.015425385
ant,xalan,12,0.229645721,0.028705715
ant,xerces,13,0.209171303,0.023241256
camel,ant,5,0.142605832,0.142605832
camel,ivy,6,0.196285409,0.19734785
camel,jedit,7,0.289770409,0.211005666
camel,log4j,8,0.066866127,0.027908785
camel,lucene,9,0.155122303,0.064337019
camel,poi,10,0.126840243,0.052577079
camel,velocity,11,0.112866906,0.029345602
camel,xalan,12,0.257820088,0.057345012
camel,xerces,13,0.259449652,0.049486633
ivy,ant,5,0.14792317,0.14792317
ivy,camel,6,0.017636334,0.065793384
ivy,jedit,7,0.013114456,0.145041929
ivy,log4j,8,0.022813688,0.02663501
ivy,lucene,9,0.018099548,0.055089525
